Tempo_ms;ADC_Bruto;Forca_kg
187497;2487;0,10
187498;2492;0,22
187499;2491;0,20
187500;2494;0,27
187501;2487;0,10
187502;2496;0,32
187503;2489;0,15
187504;2493;0,25
187505;2493;0,25
187506;2493;0,25
187507;2487;0,10
187508;2501;0,45
187509;2487;0,10
187510;2495;0,30
187511;2491;0,20
187512;2487;0,10
187513;2491;0,20
187514;2482;0,00
187515;2494;0,27
187516;2493;0,25
187517;2487;0,10
187518;2489;0,15
187519;2495;0,30
187520;2490;0,17
187521;2487;0,10
187522;2496;0,32
187523;2497;0,35
187524;2494;0,27
187525;2491;0,20
187526;2487;0,10
187527;2492;0,22
187528;2485;0,05
187529;2489;0,15
187530;2496;0,32
187531;2490;0,17
187532;2493;0,25
187533;2493;0,25
187534;2497;0,35
187535;2486;0,07
187536;2494;0,27
187537;2490;0,17
187538;2490;0,17
187539;2487;0,10
187540;2493;0,25
187541;2493;0,25
187542;2496;0,32
187543;2493;0,25
187544;2491;0,20
187545;2487;0,10
187546;2487;0,10
187547;2491;0,20
187548;2496;0,32
187549;2488;0,12
187550;2494;0,27
187551;2494;0,27
187552;2492;0,22
187553;2495;0,30
187554;2486;0,07
187555;2490;0,17
187556;2489;0,15
187557;2492;0,22
187558;2496;0,32
187559;2492;0,22
187560;2495;0,30
187561;2493;0,25
187562;2487;0,10
187563;2496;0,32
187564;2491;0,20
187565;2494;0,27
187566;2493;0,25
187567;2498;0,37
187568;2497;0,35
187569;2496;0,32
187570;2495;0,30
187571;2491;0,20
187572;2492;0,22
187573;2496;0,32
187574;2492;0,22
187575;2487;0,10
187576;2492;0,22
187577;2485;0,05
187578;2494;0,27
187579;2495;0,30
187580;2491;0,20
187581;2496;0,32
187582;2494;0,27
187583;2488;0,12
187584;2495;0,30
187585;2491;0,20
187586;2499;0,40
187587;2498;0,37
187588;2494;0,27
187589;2491;0,20
187590;2487;0,10
187591;2499;0,40
187592;2496;0,32
187593;2496;0,32
187594;2497;0,35
187595;2496;0,32
187596;2496;0,32
187597;2497;0,35
187598;2496;0,32
187599;2499;0,40
187600;2497;0,35
187601;2501;0,45
187602;2496;0,32
187603;2494;0,27
187604;2495;0,30
187605;2496;0,32
187606;2495;0,30
187607;2496;0,32
187608;2496;0,32
187609;2495;0,30
187610;2493;0,25
187611;2498;0,37
187612;2496;0,32
187613;2496;0,32
187614;2495;0,30
187615;2496;0,32
187616;2495;0,30
187617;2496;0,32
187618;2499;0,40
187619;2500;0,43
187620;2495;0,30
187621;2498;0,37
187622;2502;0,48
187623;2497;0,35
187624;2495;0,30
187625;2496;0,32
187626;2503;0,50
187627;2499;0,40
187628;2501;0,45
187629;2510;0,68
187630;2497;0,35
187631;2500;0,43
187632;2502;0,48
187633;2496;0,32
187634;2497;0,35
187635;2497;0,35
187636;2498;0,37
187637;2501;0,45
187638;2502;0,48
187639;2498;0,37
187640;2497;0,35
187641;2499;0,40
187642;2501;0,45
187643;2506;0,58
187644;2501;0,45
187645;2497;0,35
187646;2506;0,58
187647;2511;0,70
187648;2505;0,55
187649;2501;0,45
187650;2500;0,43
187651;2502;0,48
187652;2507;0,60
187653;2506;0,58
187654;2506;0,58
187655;2512;0,73
187656;2502;0,48
187657;2506;0,58
187658;2502;0,48
187659;2507;0,60
187660;2507;0,60
187661;2507;0,60
187662;2506;0,58
187663;2502;0,48
187664;2502;0,48
187665;2509;0,65
187666;2510;0,68
187667;2511;0,70
187668;2508;0,63
187669;2510;0,68
187670;2512;0,73
187671;2509;0,65
187672;2500;0,43
187673;2509;0,65
187674;2510;0,68
187675;2513;0,75
187676;2510;0,68
187677;2508;0,63
187678;2506;0,58
187679;2511;0,70
187680;2506;0,58
187681;2506;0,58
187682;2507;0,60
187683;2512;0,73
187684;2512;0,73
187685;2515;0,80
187686;2512;0,73
187687;2513;0,75
187688;2512;0,73
187689;2513;0,75
187690;2512;0,73
187691;2507;0,60
187692;2512;0,73
187693;2511;0,70
187694;2512;0,73
187695;2512;0,73
187696;2512;0,73
187697;2512;0,73
187698;2512;0,73
187699;2513;0,75
187700;2519;0,91
187701;2511;0,70
187702;2511;0,70
187703;2512;0,73
187704;2511;0,70
187705;2512;0,73
187706;2514;0,78
187707;2512;0,73
187708;2513;0,75
187709;2517;0,86
187710;2518;0,88
187711;2513;0,75
187712;2521;0,96
187713;2514;0,78
187714;2514;0,78
187715;2515;0,80
187716;2517;0,86
187717;2514;0,78
187718;2512;0,73
187719;2519;0,91
187720;2515;0,80
187721;2513;0,75
187722;2515;0,80
187723;2517;0,86
187724;2521;0,96
187725;2523;1,01
187726;2522;0,98
187727;2521;0,96
187728;2521;0,96
187729;2521;0,96
187730;2517;0,86
187731;2518;0,88
187732;2519;0,91
187733;2518;0,88
187734;2519;0,91
187735;2527;1,11
187736;2523;1,01
187737;2518;0,88
187738;2526;1,08
187739;2522;0,98
187740;2523;1,01
187741;2522;0,98
187742;2519;0,91
187743;2519;0,91
187744;2521;0,96
187745;2525;1,06
