Tempo_ms;ADC_Bruto;Forca_kg
243581;2523;1,01
243582;2507;0,60
243583;2518;0,88
243584;2503;0,50
243585;2507;0,60
243586;2531;1,21
243587;2527;1,11
243588;2507;0,60
243589;2512;0,73
243590;2509;0,65
243591;2519;0,91
243592;2512;0,73
243593;2514;0,78
243594;2510;0,68
243595;2496;0,32
243596;2522;0,98
243597;2512;0,73
243598;2523;1,01
243599;2498;0,37
243600;2521;0,96
243601;2505;0,55
243602;2537;1,36
243603;2511;0,70
243604;2497;0,35
243605;2509;0,65
243606;2538;1,39
243607;2512;0,73
243608;2509;0,65
243609;2496;0,32
243610;2527;1,11
243611;2512;0,73
243612;2498;0,37
243613;2500;0,43
243614;2513;0,75
243615;2501;0,45
243616;2512;0,73
243617;2511;0,70
243618;2514;0,78
243619;2514;0,78
243620;2523;1,01
243621;2515;0,80
243622;2525;1,06
243623;2511;0,70
243624;2503;0,50
243625;2522;0,98
243626;2508;0,63
243627;2495;0,30
243628;2515;0,80
243629;2511;0,70
243630;2503;0,50
243631;2514;0,78
243632;2525;1,06
243633;2513;0,75
243634;2511;0,70
243635;2503;0,50
243636;2512;0,73
243637;2507;0,60
243638;2506;0,58
243639;2539;1,41
243640;2496;0,32
243641;2537;1,36
243642;2512;0,73
243643;2508;0,63
243644;2521;0,96
243645;2503;0,50
243646;2512;0,73
243647;2487;0,10
243648;2514;0,78
243649;2502;0,48
243650;2503;0,50
243651;2538;1,39
243652;2511;0,70
243653;2511;0,70
243654;2542;1,49
243655;2522;0,98
243656;2521;0,96
243657;2539;1,41
243658;2521;0,96
243659;2508;0,63
243660;2521;0,96
243661;2498;0,37
243662;2515;0,80
243663;2506;0,58
243664;2519;0,91
243665;2531;1,21
243666;2516;0,83
243667;2512;0,73
243668;2519;0,91
243669;2512;0,73
243670;2529;1,16
243671;2523;1,01
243672;2525;1,06
243673;2519;0,91
243674;2514;0,78
243675;2501;0,45
243676;2543;1,51
243677;2526;1,08
243678;2515;0,80
243679;2512;0,73
243680;2532;1,23
243681;2519;0,91
243682;2541;1,46
243683;2495;0,30
243684;2517;0,86
243685;2502;0,48
243686;2510;0,68
243687;2507;0,60
243688;2507;0,60
243689;2512;0,73
243690;2537;1,36
243691;2515;0,80
243692;2517;0,86
243693;2522;0,98
243694;2512;0,73
243695;2512;0,73
243696;2524;1,03
243697;2511;0,70
243698;2507;0,60
243699;2525;1,06
243700;2507;0,60
243701;2513;0,75
243702;2507;0,60
243703;2496;0,32
243704;2518;0,88
243705;2506;0,58
243706;2524;1,03
243707;2521;0,96
243708;2506;0,58
243709;2514;0,78
243710;2513;0,75
243711;2517;0,86
243712;2519;0,91
243713;2523;1,01
243714;2522;0,98
243715;2443;0,00
243716;2514;0,78
243717;2495;0,30
243718;2527;1,11
243719;2508;0,63
243720;2511;0,70
243721;2512;0,73
243722;2501;0,45
243723;2527;1,11
243724;2522;0,98
243725;2509;0,65
243726;2512;0,73
243727;2512;0,73
243728;2519;0,91
243729;2515;0,80
243730;2526;1,08
243731;2530;1,18
243732;2499;0,40
243733;2499;0,40
243734;2517;0,86
243735;2513;0,75
243736;2521;0,96
243737;2509;0,65
243738;2531;1,21
243739;2501;0,45
243740;2515;0,80
243741;2506;0,58
243742;2521;0,96
243743;2525;1,06
243744;2518;0,88
243745;2534;1,29
243746;2518;0,88
243747;2523;1,01
243748;2514;0,78
243749;2522;0,98
243750;2523;1,01
243751;2518;0,88
243752;2538;1,39
243753;2505;0,55
