Tempo_ms;ADC_Bruto;Forca_kg
197464;2519;0,91
197465;2559;1,92
197466;2517;0,86
197467;2518;0,88
197468;2517;0,86
197469;2519;0,91
197470;2517;0,86
197471;2523;1,01
197472;2519;0,91
197473;2513;0,75
197474;2523;1,01
197475;2514;0,78
197476;2518;0,88
197477;2522;0,98
197478;2517;0,86
197479;2523;1,01
197480;2518;0,88
197481;2516;0,83
197482;2516;0,83
197483;2519;0,91
197484;2519;0,91
197485;2522;0,98
197486;2518;0,88
197487;2514;0,78
197488;2516;0,83
197489;2512;0,73
197490;2517;0,86
197491;2518;0,88
197492;2517;0,86
197493;2512;0,73
197494;2519;0,91
197495;2513;0,75
197496;2517;0,86
197497;2512;0,73
197498;2515;0,80
197499;2515;0,80
197500;2513;0,75
197501;2514;0,78
197502;2516;0,83
197503;2519;0,91
197504;2517;0,86
197505;2514;0,78
197506;2508;0,63
197507;2516;0,83
197508;2512;0,73
197509;2507;0,60
197510;2518;0,88
197511;2515;0,80
197512;2512;0,73
197513;2511;0,70
197514;2513;0,75
197515;2512;0,73
197516;2512;0,73
197517;2519;0,91
197518;2512;0,73
197519;2513;0,75
197520;2515;0,80
197521;2520;0,93
197522;2512;0,73
197523;2522;0,98
197524;2522;0,98
197525;2517;0,86
197526;2515;0,80
197527;2518;0,88
197528;2515;0,80
197529;2512;0,73
197530;2512;0,73
197531;2512;0,73
197532;2512;0,73
197533;2513;0,75
197534;2512;0,73
197535;2513;0,75
197536;2517;0,86
197537;2516;0,83
197538;2513;0,75
197539;2512;0,73
197540;2512;0,73
197541;2515;0,80
197542;2517;0,86
197543;2512;0,73
197544;2512;0,73
197545;2519;0,91
197546;2515;0,80
197547;2512;0,73
197548;2512;0,73
197549;2512;0,73
197550;2512;0,73
197551;2516;0,83
197552;2521;0,96
197553;2513;0,75
197554;2519;0,91
197555;2512;0,73
197556;2513;0,75
197557;2512;0,73
197558;2515;0,80
197559;2511;0,70
197560;2511;0,70
197561;2522;0,98
197562;2511;0,70
197563;2511;0,70
197564;2517;0,86
197565;2514;0,78
197566;2512;0,73
197567;2510;0,68
197568;2512;0,73
197569;2516;0,83
197570;2511;0,70
197571;2507;0,60
197572;2512;0,73
197573;2509;0,65
197574;2514;0,78
197575;2512;0,73
197576;2515;0,80
197577;2511;0,70
197578;2512;0,73
197579;2506;0,58
197580;2512;0,73
197581;2512;0,73
197582;2513;0,75
197583;2512;0,73
197584;2514;0,78
197585;2511;0,70
197586;2516;0,83
197587;2510;0,68
197588;2511;0,70
197589;2507;0,60
197590;2511;0,70
197591;2513;0,75
197592;2511;0,70
197593;2509;0,65
197594;2513;0,75
197595;2506;0,58
197596;2517;0,86
197597;2514;0,78
197598;2514;0,78
197599;2511;0,70
197600;2510;0,68
197601;2512;0,73
197602;2512;0,73
197603;2507;0,60
197604;2512;0,73
197605;2511;0,70
197606;2512;0,73
197607;2512;0,73
197608;2511;0,70
197609;2509;0,65
197610;2511;0,70
197611;2512;0,73
197612;2511;0,70
197613;2509;0,65
197614;2510;0,68
197615;2512;0,73
197616;2512;0,73
197617;2510;0,68
197618;2512;0,73
197619;2512;0,73
197620;2511;0,70
197621;2503;0,50
197622;2506;0,58
197623;2511;0,70
197624;2507;0,60
197625;2513;0,75
197626;2514;0,78
197627;2507;0,60
197628;2514;0,78
197629;2510;0,68
197630;2509;0,65
197631;2516;0,83
197632;2506;0,58
197633;2512;0,73
197634;2515;0,80
197635;2512;0,73
197636;2512;0,73
197637;2512;0,73
197638;2512;0,73
197639;2512;0,73
197640;2503;0,50
197641;2498;0,37
197642;2511;0,70
197643;2510;0,68
197644;2512;0,73
197645;2501;0,45
197646;2512;0,73
197647;2507;0,60
197648;2515;0,80
197649;2528;1,13
197650;2512;0,73
197651;2506;0,58
197652;2512;0,73
197653;2512;0,73
197654;2522;0,98
197655;2511;0,70
197656;2519;0,91
197657;2512;0,73
197658;2515;0,80
197659;2512;0,73
197660;2513;0,75
197661;2512;0,73
197662;2513;0,75
197663;2512;0,73
197664;2513;0,75
197665;2514;0,78
197666;2515;0,80
197667;2512;0,73
197668;2519;0,91
197669;2513;0,75
197670;2514;0,78
197671;2516;0,83
197672;2517;0,86
197673;2511;0,70
197674;2522;0,98
197675;2507;0,60
197676;2512;0,73
197677;2509;0,65
197678;2522;0,98
197679;2513;0,75
197680;2519;0,91
197681;2512;0,73
197682;2515;0,80
197683;2522;0,98
197684;2519;0,91
197685;2513;0,75
197686;2514;0,78
197687;2511;0,70
197688;2519;0,91
197689;2513;0,75
197690;2518;0,88
197691;2511;0,70
197692;2512;0,73
197693;2518;0,88
197694;2518;0,88
197695;2512;0,73
197696;2521;0,96
197697;2511;0,70
197698;2512;0,73
197699;2512;0,73
197700;2514;0,78
197701;2507;0,60
197702;2529;1,16
197703;2523;1,01
197704;2519;0,91
197705;2512;0,73
197706;2517;0,86
197707;2512;0,73
197708;2526;1,08
197709;2516;0,83
197710;2521;0,96
197711;2511;0,70
197712;2524;1,03
197713;2516;0,83
197714;2526;1,08
197715;2517;0,86
197716;2515;0,80
197717;2512;0,73
197718;2519;0,91
197719;2515;0,80
197720;2531;1,21
197721;2515;0,80
197722;2517;0,86
197723;2514;0,78
197724;2526;1,08
197725;2517;0,86
197726;2521;0,96
197727;2515;0,80
197728;2512;0,73
197729;2514;0,78
197730;2525;1,06
197731;2511;0,70
197732;2513;0,75
197733;2512;0,73
197734;2513;0,75
197735;2512;0,73
197736;2546;1,59
197737;2522;0,98
197738;2521;0,96
197739;2513;0,75
197740;2519;0,91
197741;2517;0,86
197742;2527;1,11
197743;2522;0,98
197744;2548;1,64
197745;2519;0,91
197746;2522;0,98
197747;2513;0,75
197748;2517;0,86
197749;2514;0,78
197750;2533;1,26
197751;2517;0,86
197752;2527;1,11
197753;2514;0,78
197754;2537;1,36
197755;2522;0,98
197756;2533;1,26
197757;2513;0,75
197758;2528;1,13
197759;2522;0,98
197760;2528;1,13
197761;2521;0,96
197762;2517;0,86
197763;2523;1,01
197764;2521;0,96
197765;2519;0,91
197766;2526;1,08
197767;2515;0,80
197768;2523;1,01
197769;2521;0,96
197770;2528;1,13
197771;2521;0,96
197772;2526;1,08
197773;2523;1,01
197774;2529;1,16
197775;2521;0,96
197776;2515;0,80
197777;2518;0,88
197778;2538;1,39
197779;2515;0,80
197780;2526;1,08
197781;2528;1,13
197782;2526;1,08
197783;2525;1,06
197784;2530;1,18
197785;2529;1,16
197786;2529;1,16
197787;2515;0,80
197788;2525;1,06
197789;2519;0,91
197790;2525;1,06
197791;2523;1,01
197792;2531;1,21
197793;2515;0,80
197794;2519;0,91
197795;2537;1,36
197796;2529;1,16
197797;2517;0,86
197798;2515;0,80
197799;2528;1,13
197800;2519;0,91
197801;2525;1,06
197802;2526;1,08
197803;2512;0,73
197804;2526;1,08
197805;2521;0,96
197806;2519;0,91
197807;2513;0,75
197808;2525;1,06
197809;2514;0,78
197810;2519;0,91
197811;2514;0,78
197812;2531;1,21
197813;2521;0,96
197814;2512;0,73
197815;2519;0,91
197816;2527;1,11
197817;2521;0,96
197818;2523;1,01
197819;2512;0,73
197820;2543;1,51
197821;2527;1,11
197822;2521;0,96
197823;2512;0,73
197824;2517;0,86
197825;2521;0,96
197826;2531;1,21
197827;2521;0,96
197828;2525;1,06
197829;2515;0,80
197830;2528;1,13
197831;2508;0,63
197832;2522;0,98
197833;2519;0,91
197834;2512;0,73
197835;2516;0,83
197836;2528;1,13
197837;2512;0,73
197838;2518;0,88
197839;2515;0,80
197840;2517;0,86
197841;2515;0,80
197842;2529;1,16
197843;2515;0,80
197844;2523;1,01
197845;2519;0,91
197846;2517;0,86
197847;2523;1,01
197848;2525;1,06
197849;2518;0,88
197850;2530;1,18
197851;2527;1,11
197852;2526;1,08
197853;2517;0,86
197854;2526;1,08
197855;2512;0,73
197856;2532;1,23
197857;2521;0,96
197858;2518;0,88
197859;2515;0,80
197860;2531;1,21
197861;2513;0,75
197862;2517;0,86
197863;2522;0,98
197864;2529;1,16
197865;2521;0,96
197866;2531;1,21
197867;2515;0,80
197868;2534;1,29
197869;2518;0,88
197870;2517;0,86
197871;2519;0,91
197872;2515;0,80
197873;2518;0,88
197874;2519;0,91
197875;2510;0,68
197876;2514;0,78
197877;2519;0,91
197878;2523;1,01
197879;2512;0,73
197880;2517;0,86
197881;2511;0,70
197882;2517;0,86
197883;2512;0,73
197884;2534;1,29
197885;2511;0,70
197886;2523;1,01
197887;2512;0,73
197888;2529;1,16
197889;2512;0,73
197890;2518;0,88
197891;2512;0,73
197892;2545;1,56
197893;2512;0,73
197894;2515;0,80
197895;2514;0,78
197896;2523;1,01
197897;2513;0,75
197898;2523;1,01
197899;2518;0,88
197900;2525;1,06
197901;2512;0,73
197902;2525;1,06
197903;2513;0,75
197904;2519;0,91
197905;2521;0,96
197906;2532;1,23
197907;2512;0,73
197908;2544;1,54
197909;2512;0,73
197910;2525;1,06
197911;2512;0,73
197912;2526;1,08
197913;2513;0,75
197914;2531;1,21
197915;2519;0,91
197916;2531;1,21
197917;2514;0,78
197918;2522;0,98
197919;2519;0,91
197920;2528;1,13
197921;2524;1,03
197922;2534;1,29
197923;2533;1,26
197924;2531;1,21
197925;2515;0,80
197926;2515;0,80
197927;2515;0,80
197928;2529;1,16
197929;2517;0,86
197930;2521;0,96
197931;2512;0,73
197932;2525;1,06
197933;2513;0,75
197934;2533;1,26
197935;2510;0,68
197936;2519;0,91
197937;2513;0,75
197938;2534;1,29
197939;2512;0,73
197940;2527;1,11
197941;2517;0,86
197942;2528;1,13
197943;2517;0,86
197944;2516;0,83
197945;2518;0,88
197946;2541;1,46
197947;2513;0,75
197948;2527;1,11
197949;2515;0,80
197950;2526;1,08
197951;2515;0,80
197952;2528;1,13
197953;2514;0,78
197954;2524;1,03
197955;2518;0,88
197956;2527;1,11
197957;2515;0,80
197958;2531;1,21
197959;2523;1,01
197960;2535;1,31
197961;2515;0,80
197962;2518;0,88
197963;2526;1,08
197964;2521;0,96
197965;2523;1,01
197966;2521;0,96
197967;2517;0,86
197968;2533;1,26
197969;2516;0,83
197970;2527;1,11
197971;2518;0,88
197972;2527;1,11
197973;2525;1,06
197974;2533;1,26
197975;2518;0,88
197976;2517;0,86
197977;2519;0,91
197978;2542;1,49
197979;2522;0,98
197980;2521;0,96
197981;2515;0,80
197982;2537;1,36
197983;2521;0,96
197984;2525;1,06
197985;2514;0,78
197986;2531;1,21
197987;2521;0,96
197988;2539;1,41
197989;2514;0,78
197990;2535;1,31
197991;2516;0,83
197992;2531;1,21
197993;2516;0,83
197994;2528;1,13
197995;2523;1,01
197996;2533;1,26
197997;2530;1,18
197998;2526;1,08
197999;2519;0,91
198000;2523;1,01
198001;2522;0,98
198002;2532;1,23
198003;2518;0,88
198004;2559;1,92
198005;2531;1,21
198006;2537;1,36
198007;2523;1,01
198008;2538;1,39
198009;2522;0,98
198010;2527;1,11
198011;2527;1,11
198012;2526;1,08
198013;2532;1,23
198014;2525;1,06
198015;2525;1,06
198016;2525;1,06
198017;2527;1,11
198018;2550;1,69
198019;2522;0,98
198020;2517;0,86
198021;2530;1,18
198022;2531;1,21
198023;2531;1,21
198024;2526;1,08
198025;2522;0,98
198026;2526;1,08
198027;2528;1,13
198028;2544;1,54
198029;2527;1,11
198030;2555;1,82
198031;2524;1,03
198032;2544;1,54
198033;2521;0,96
198034;2532;1,23
198035;2527;1,11
198036;2534;1,29
198037;2527;1,11
198038;2544;1,54
198039;2525;1,06
198040;2541;1,46
198041;2531;1,21
198042;2535;1,31
198043;2531;1,21
198044;2543;1,51
198045;2531;1,21
198046;2535;1,31
198047;2531;1,21
198048;2551;1,72
198049;2533;1,26
198050;2531;1,21
198051;2534;1,29
198052;2531;1,21
198053;2530;1,18
198054;2555;1,82
198055;2527;1,11
198056;2554;1,79
198057;2526;1,08
198058;2535;1,31
198059;2544;1,54
198060;2555;1,82
198061;2532;1,23
198062;2541;1,46
198063;2530;1,18
198064;2545;1,56
198065;2529;1,16
198066;2547;1,61
198067;2528;1,13
198068;2550;1,69
198069;2538;1,39
198070;2538;1,39
198071;2548;1,64
198072;2542;1,49
198073;2538;1,39
198074;2539;1,41
198075;2538;1,39
198076;2555;1,82
198077;2541;1,46
198078;2542;1,49
198079;2529;1,16
198080;2547;1,61
198081;2544;1,54
198082;2558;1,89
198083;2543;1,51
198084;2545;1,56
198085;2542;1,49
198086;2553;1,77
198087;2544;1,54
198088;2546;1,59
198089;2539;1,41
198090;2549;1,66
198091;2542;1,49
198092;2545;1,56
198093;2539;1,41
198094;2551;1,72
198095;2535;1,31
198096;2548;1,64
198097;2534;1,29
198098;2544;1,54
198099;2530;1,18
198100;2550;1,69
198101;2535;1,31
198102;2547;1,61
198103;2537;1,36
198104;2551;1,72
198105;2536;1,34
198106;2551;1,72
198107;2544;1,54
198108;2544;1,54
198109;2535;1,31
198110;2554;1,79
198111;2535;1,31
198112;2551;1,72
198113;2537;1,36
198114;2544;1,54
198115;2539;1,41
198116;2544;1,54
198117;2539;1,41
198118;2540;1,44
198119;2544;1,54
198120;2555;1,82
198121;2535;1,31
198122;2549;1,66
198123;2533;1,26
198124;2544;1,54
198125;2535;1,31
198126;2549;1,66
198127;2535;1,31
198128;2558;1,89
198129;2541;1,46
198130;2546;1,59
198131;2535;1,31
198132;2545;1,56
198133;2541;1,46
198134;2539;1,41
198135;2541;1,46
198136;2551;1,72
198137;2543;1,51
198138;2544;1,54
198139;2535;1,31
198140;2554;1,79
198141;2544;1,54
198142;2539;1,41
198143;2543;1,51
198144;2550;1,69
198145;2542;1,49
198146;2538;1,39
198147;2535;1,31
198148;2556;1,84
198149;2537;1,36
198150;2541;1,46
198151;2543;1,51
198152;2541;1,46
198153;2534;1,29
198154;2543;1,51
198155;2542;1,49
198156;2545;1,56
198157;2534;1,29
198158;2554;1,79
198159;2543;1,51
198160;2544;1,54
198161;2541;1,46
198162;2548;1,64
198163;2543;1,51
198164;2544;1,54
198165;2543;1,51
198166;2547;1,61
198167;2544;1,54
198168;2551;1,72
198169;2540;1,44
198170;2544;1,54
198171;2532;1,23
198172;2545;1,56
198173;2544;1,54
198174;2544;1,54
198175;2538;1,39
198176;2539;1,41
198177;2539;1,41
198178;2555;1,82
198179;2533;1,26
198180;2542;1,49
198181;2533;1,26
198182;2541;1,46
198183;2544;1,54
198184;2551;1,72
198185;2538;1,39
198186;2539;1,41
198187;2544;1,54
198188;2596;2,85
198189;2542;1,49
198190;2537;1,36
198191;2542;1,49
198192;2537;1,36
198193;2543;1,51
198194;2553;1,77
198195;2541;1,46
198196;2552;1,74
198197;2535;1,31
198198;2544;1,54
198199;2541;1,46
198200;2551;1,72
198201;2540;1,44
198202;2551;1,72
198203;2543;1,51
198204;2544;1,54
198205;2534;1,29
198206;2559;1,92
198207;2543;1,51
198208;2544;1,54
198209;2530;1,18
198210;2548;1,64
198211;2542;1,49
198212;2544;1,54
198213;2528;1,13
198214;2559;1,92
198215;2528;1,13
198216;2558;1,89
198217;2541;1,46
198218;2555;1,82
198219;2533;1,26
198220;2559;1,92
198221;2535;1,31
198222;2552;1,74
198223;2535;1,31
198224;2545;1,56
198225;2535;1,31
198226;2539;1,41
198227;2530;1,18
198228;2557;1,87
198229;2535;1,31
198230;2533;1,26
198231;2533;1,26
198232;2544;1,54
198233;2539;1,41
198234;2547;1,61
198235;2534;1,29
198236;2555;1,82
198237;2537;1,36
198238;2544;1,54
198239;2559;1,92
198240;2535;1,31
198241;2533;1,26
198242;2554;1,79
198243;2535;1,31
198244;2547;1,61
198245;2531;1,21
198246;2545;1,56
198247;2538;1,39
198248;2551;1,72
