Tempo_ms;ADC_Bruto;Forca_kg
333259;2463;0,00
333260;2460;0,00
333261;2469;0,00
333262;2469;0,00
333263;2455;0,00
333264;2454;0,00
333265;2486;0,07
333266;2458;0,00
333267;2457;0,00
333268;2462;0,00
333269;2459;0,00
333270;2459;0,00
333271;2455;0,00
333272;2463;0,00
333273;2458;0,00
333274;2466;0,00
333275;2464;0,00
333276;2465;0,00
333277;2462;0,00
333278;2473;0,00
333279;2474;0,00
333280;2470;0,00
333281;2477;0,00
333282;2465;0,00
333283;2480;0,00
333284;2480;0,00
333285;2463;0,00
333286;2467;0,00
333287;2474;0,00
333288;2470;0,00
333289;2479;0,00
333290;2459;0,00
333291;2469;0,00
333292;2483;0,00
333293;2454;0,00
333294;2461;0,00
333295;2461;0,00
333296;2470;0,00
333297;2464;0,00
333298;2482;0,00
333299;2466;0,00
333300;2470;0,00
333301;2471;0,00
333302;2459;0,00
333303;2467;0,00
333304;2473;0,00
333305;2463;0,00
333306;2480;0,00
333307;2431;0,00
333308;2470;0,00
333309;2467;0,00
333310;2462;0,00
333311;2459;0,00
333312;2462;0,00
333313;2460;0,00
333314;2459;0,00
333315;2455;0,00
333316;2467;0,00
333317;2461;0,00
333318;2431;0,00
333319;2469;0,00
333320;2481;0,00
333321;2451;0,00
333322;2469;0,00
333323;2462;0,00
333324;2459;0,00
333325;2461;0,00
333326;2462;0,00
333327;2460;0,00
333328;2478;0,00
333329;2473;0,00
333330;2464;0,00
333331;2454;0,00
333332;2471;0,00
333333;2467;0,00
333334;2489;0,15
333335;2459;0,00
333336;2458;0,00
333337;2466;0,00
333338;2465;0,00
333339;2463;0,00
333340;2479;0,00
333341;2464;0,00
333342;2459;0,00
333343;2467;0,00
333344;2459;0,00
333345;2458;0,00
333346;2477;0,00
333347;2463;0,00
333348;2461;0,00
333349;2461;0,00
333350;2465;0,00
333351;2460;0,00
333352;2472;0,00
333353;2467;0,00
333354;2463;0,00
333355;2470;0,00
333356;2467;0,00
333357;2474;0,00
