Tempo_ms;ADC_Bruto;Forca_kg
280535;2467;0,00
280536;2467;0,00
280537;2490;0,17
280538;2471;0,00
280539;2487;0,10
280540;2467;0,00
280541;2480;0,00
280542;2473;0,00
280543;2480;0,00
280544;2468;0,00
280545;2486;0,07
280546;2464;0,00
280547;2482;0,00
280548;2465;0,00
280549;2477;0,00
280550;2466;0,00
280551;2477;0,00
280552;2466;0,00
280553;2490;0,17
280554;2464;0,00
280555;2475;0,00
280556;2467;0,00
280557;2479;0,00
280558;2467;0,00
280559;2481;0,00
280560;2469;0,00
280561;2477;0,00
280562;2469;0,00
280563;2480;0,00
280564;2465;0,00
280565;2474;0,00
280566;2478;0,00
280567;2479;0,00
280568;2466;0,00
280569;2470;0,00
280570;2463;0,00
280571;2480;0,00
280572;2466;0,00
280573;2481;0,00
280574;2466;0,00
280575;2484;0,02
280576;2471;0,00
280577;2480;0,00
280578;2470;0,00
280579;2485;0,05
280580;2469;0,00
280581;2493;0,25
280582;2471;0,00
280583;2481;0,00
280584;2469;0,00
280585;2478;0,00
280586;2468;0,00
280587;2475;0,00
280588;2469;0,00
280589;2478;0,00
280590;2467;0,00
280591;2491;0,20
280592;2467;0,00
280593;2473;0,00
280594;2476;0,00
280595;2475;0,00
280596;2480;0,00
280597;2482;0,00
280598;2469;0,00
280599;2491;0,20
280600;2467;0,00
280601;2467;0,00
280602;2459;0,00
280603;2478;0,00
280604;2461;0,00
280605;2475;0,00
280606;2465;0,00
280607;2485;0,05
280608;2469;0,00
280609;2474;0,00
280610;2471;0,00
280611;2489;0,15
280612;2467;0,00
280613;2487;0,10
280614;2468;0,00
280615;2494;0,27
280616;2465;0,00
280617;2479;0,00
280618;2467;0,00
280619;2487;0,10
280620;2469;0,00
280621;2471;0,00
280622;2466;0,00
280623;2489;0,15
280624;2467;0,00
280625;2467;0,00
280626;2465;0,00
280627;2477;0,00
280628;2465;0,00
280629;2495;0,30
280630;2469;0,00
280631;2496;0,32
280632;2466;0,00
280633;2489;0,15
280634;2469;0,00
280635;2469;0,00
280636;2467;0,00
280637;2480;0,00
280638;2475;0,00
280639;2467;0,00
280640;2479;0,00
280641;2473;0,00
280642;2465;0,00
280643;2495;0,30
280644;2468;0,00
280645;2477;0,00
280646;2465;0,00
280647;2479;0,00
280648;2464;0,00
280649;2481;0,00
280650;2471;0,00
280651;2487;0,10
280652;2468;0,00
280653;2489;0,15
280654;2464;0,00
280655;2482;0,00
280656;2466;0,00
280657;2471;0,00
280658;2467;0,00
280659;2490;0,17
280660;2471;0,00
280661;2477;0,00
280662;2471;0,00
280663;2471;0,00
280664;2475;0,00
280665;2479;0,00
280666;2467;0,00
280667;2492;0,22
280668;2469;0,00
280669;2471;0,00
280670;2471;0,00
280671;2473;0,00
280672;2467;0,00
280673;2490;0,17
280674;2467;0,00
280675;2473;0,00
280676;2474;0,00
280677;2493;0,25
280678;2465;0,00
280679;2489;0,15
280680;2475;0,00
280681;2485;0,05
280682;2470;0,00
280683;2487;0,10
280684;2474;0,00
280685;2493;0,25
280686;2469;0,00
280687;2505;0,55
280688;2467;0,00
280689;2471;0,00
280690;2465;0,00
280691;2480;0,00
280692;2470;0,00
280693;2485;0,05
280694;2465;0,00
280695;2489;0,15
