Tempo_ms;ADC_Bruto;Forca_kg
137738;2496;0,32
137739;2471;0,00
137740;2482;0,00
137741;2490;0,17
137742;2487;0,10
137743;2489;0,15
137744;2474;0,00
137745;2475;0,00
137746;2473;0,00
137747;2459;0,00
137748;2466;0,00
137749;2465;0,00
137750;2470;0,00
137751;2466;0,00
137752;2482;0,00
137753;2490;0,17
137754;2471;0,00
137755;2473;0,00
137756;2469;0,00
137757;2477;0,00
137758;2496;0,32
137759;2455;0,00
137760;2471;0,00
137761;2501;0,45
137762;2482;0,00
137763;2493;0,25
137764;2470;0,00
137765;2476;0,00
137766;2474;0,00
137767;2480;0,00
137768;2475;0,00
137769;2471;0,00
137770;2487;0,10
137771;2511;0,70
137772;2477;0,00
137773;2478;0,00
137774;2480;0,00
137775;2480;0,00
137776;2485;0,05
137777;2467;0,00
137778;2480;0,00
137779;2461;0,00
137780;2507;0,60
137781;2466;0,00
137782;2485;0,05
137783;2487;0,10
137784;2496;0,32
137785;2483;0,00
137786;2469;0,00
137787;2471;0,00
137788;2479;0,00
137789;2480;0,00
137790;2467;0,00
137791;2466;0,00
137792;2461;0,00
137793;2468;0,00
137794;2469;0,00
137795;2465;0,00
137796;2477;0,00
137797;2473;0,00
137798;2481;0,00
137799;2479;0,00
137800;2480;0,00
137801;2466;0,00
137802;2483;0,00
137803;2479;0,00
137804;2476;0,00
137805;2471;0,00
137806;2494;0,27
137807;2459;0,00
137808;2479;0,00
137809;2477;0,00
137810;2474;0,00
137811;2467;0,00
137812;2469;0,00
137813;2468;0,00
137814;2479;0,00
137815;2471;0,00
137816;2496;0,32
137817;2478;0,00
137818;2475;0,00
137819;2475;0,00
137820;2477;0,00
137821;2471;0,00
137822;2461;0,00
137823;2469;0,00
137824;2471;0,00
137825;2479;0,00
137826;2510;0,68
137827;2499;0,40
137828;2479;0,00
137829;2480;0,00
137830;2458;0,00
137831;2466;0,00
137832;2471;0,00
137833;2464;0,00
137834;2475;0,00
137835;2470;0,00
137836;2501;0,45
137837;2458;0,00
137838;2479;0,00
137839;2463;0,00
137840;2469;0,00
137841;2478;0,00
137842;2477;0,00
137843;2463;0,00
137844;2464;0,00
137845;2468;0,00
137846;2480;0,00
137847;2470;0,00
137848;2470;0,00
137849;2509;0,65
137850;2510;0,68
137851;2478;0,00
137852;2480;0,00
137853;2474;0,00
137854;2480;0,00
137855;2448;0,00
137856;2465;0,00
137857;2465;0,00
137858;2477;0,00
137859;2463;0,00
137860;2471;0,00
137861;2464;0,00
137862;2469;0,00
137863;2480;0,00
137864;2462;0,00
137865;2478;0,00
137866;2479;0,00
137867;2466;0,00
137868;2480;0,00
137869;2465;0,00
137870;2482;0,00
137871;2469;0,00
137872;2466;0,00
137873;2493;0,25
137874;2474;0,00
137875;2471;0,00
137876;2459;0,00
137877;2490;0,17
137878;2475;0,00
137879;2483;0,00
137880;2482;0,00
137881;2493;0,25
137882;2476;0,00
137883;2467;0,00
137884;2467;0,00
137885;2470;0,00
137886;2462;0,00
137887;2461;0,00
137888;2479;0,00
137889;2474;0,00
137890;2469;0,00
137891;2467;0,00
137892;2477;0,00
137893;2489;0,15
137894;2486;0,07
137895;2461;0,00
137896;2466;0,00
137897;2480;0,00
137898;2509;0,65
137899;2509;0,65
137900;2457;0,00
137901;2489;0,15
137902;2486;0,07
137903;2486;0,07
137904;2475;0,00
137905;2464;0,00
137906;2475;0,00
137907;2470;0,00
137908;2487;0,10
137909;2474;0,00
137910;2473;0,00
137911;2471;0,00
137912;2474;0,00
137913;2477;0,00
137914;2485;0,05
