Tempo_ms;ADC_Bruto;Forca_kg
283444;2480;0,00
283445;2473;0,00
283446;2464;0,00
283447;2483;0,00
283448;2465;0,00
283449;2477;0,00
283450;2464;0,00
283451;2460;0,00
283452;2475;0,00
283453;2471;0,00
283454;2463;0,00
283455;2495;0,30
283456;2464;0,00
283457;2471;0,00
283458;2470;0,00
283459;2464;0,00
283460;2460;0,00
283461;2467;0,00
283462;2465;0,00
283463;2467;0,00
283464;2478;0,00
283465;2463;0,00
283466;2471;0,00
283467;2479;0,00
283468;2464;0,00
283469;2485;0,05
283470;2463;0,00
283471;2466;0,00
283472;2469;0,00
283473;2463;0,00
283474;2464;0,00
283475;2480;0,00
283476;2464;0,00
283477;2471;0,00
283478;2459;0,00
283479;2474;0,00
283480;2476;0,00
283481;2462;0,00
283482;2470;0,00
283483;2465;0,00
283484;2459;0,00
283485;2471;0,00
283486;2466;0,00
283487;2467;0,00
283488;2464;0,00
283489;2470;0,00
283490;2464;0,00
283491;2478;0,00
283492;2464;0,00
283493;2470;0,00
283494;2470;0,00
283495;2463;0,00
283496;2469;0,00
283497;2478;0,00
283498;2470;0,00
283499;2471;0,00
283500;2459;0,00
283501;2475;0,00
283502;2465;0,00
283503;2464;0,00
283504;2467;0,00
283505;2467;0,00
283506;2479;0,00
283507;2451;0,00
283508;2465;0,00
283509;2466;0,00
283510;2461;0,00
283511;2466;0,00
283512;2477;0,00
283513;2483;0,00
283514;2459;0,00
283515;2465;0,00
283516;2467;0,00
283517;2480;0,00
283518;2464;0,00
283519;2475;0,00
283520;2467;0,00
283521;2478;0,00
283522;2464;0,00
283523;2479;0,00
283524;2477;0,00
283525;2478;0,00
283526;2467;0,00
283527;2484;0,02
283528;2472;0,00
283529;2469;0,00
283530;2461;0,00
283531;2473;0,00
283532;2470;0,00
283533;2466;0,00
283534;2467;0,00
283535;2469;0,00
283536;2468;0,00
283537;2480;0,00
283538;2467;0,00
283539;2463;0,00
283540;2462;0,00
283541;2464;0,00
283542;2477;0,00
283543;2473;0,00
283544;2471;0,00
283545;2471;0,00
283546;2462;0,00
283547;2471;0,00
283548;2472;0,00
283549;2480;0,00
283550;2478;0,00
283551;2474;0,00
283552;2466;0,00
283553;2480;0,00
283554;2468;0,00
283555;2475;0,00
283556;2480;0,00
283557;2482;0,00
283558;2464;0,00
283559;2475;0,00
283560;2463;0,00
283561;2463;0,00
283562;2475;0,00
283563;2471;0,00
283564;2480;0,00
283565;2462;0,00
283566;2480;0,00
283567;2484;0,02
283568;2470;0,00
283569;2479;0,00
283570;2461;0,00
283571;2469;0,00
283572;2474;0,00
283573;2469;0,00
283574;2471;0,00
283575;2475;0,00
283576;2481;0,00
283577;2468;0,00
283578;2463;0,00
283579;2478;0,00
283580;2468;0,00
283581;2466;0,00
283582;2475;0,00
283583;2471;0,00
283584;2462;0,00
283585;2475;0,00
283586;2466;0,00
283587;2480;0,00
283588;2468;0,00
283589;2471;0,00
283590;2469;0,00
283591;2468;0,00
283592;2469;0,00
283593;2473;0,00
283594;2455;0,00
283595;2464;0,00
283596;2475;0,00
283597;2464;0,00
283598;2468;0,00
283599;2478;0,00
283600;2480;0,00
283601;2473;0,00
283602;2483;0,00
283603;2467;0,00
283604;2475;0,00
283605;2471;0,00
283606;2478;0,00
283607;2462;0,00
283608;2467;0,00
283609;2455;0,00
283610;2464;0,00
283611;2480;0,00
283612;2474;0,00
283613;2480;0,00
283614;2464;0,00
283615;2477;0,00
283616;2455;0,00
283617;2462;0,00
283618;2465;0,00
283619;2463;0,00
283620;2474;0,00
283621;2487;0,10
283622;2464;0,00
283623;2456;0,00
283624;2471;0,00
283625;2465;0,00
283626;2470;0,00
283627;2464;0,00
283628;2474;0,00
283629;2464;0,00
283630;2470;0,00
283631;2475;0,00
283632;2476;0,00
283633;2469;0,00
283634;2467;0,00
283635;2467;0,00
283636;2466;0,00
283637;2464;0,00
283638;2464;0,00
283639;2495;0,30
283640;2463;0,00
283641;2479;0,00
283642;2483;0,00
283643;2479;0,00
283644;2469;0,00
283645;2469;0,00
283646;2474;0,00
283647;2471;0,00
283648;2471;0,00
283649;2462;0,00
283650;2468;0,00
283651;2459;0,00
283652;2474;0,00
283653;2467;0,00
283654;2475;0,00
283655;2463;0,00
283656;2466;0,00
283657;2484;0,02
283658;2467;0,00
283659;2467;0,00
283660;2482;0,00
283661;2475;0,00
283662;2475;0,00
283663;2478;0,00
283664;2473;0,00
283665;2469;0,00
283666;2469;0,00
283667;2462;0,00
283668;2473;0,00
283669;2483;0,00
283670;2469;0,00
283671;2478;0,00
283672;2490;0,17
283673;2474;0,00
283674;2481;0,00
283675;2463;0,00
283676;2480;0,00
283677;2474;0,00
